MNI_Caudate_L_roi.mat,MNI_Caudate_R_roi.mat,MNI_Cingulum_Ant_L_roi.mat,MNI_Cingulum_Ant_R_roi.mat,MNI_Cingulum_Mid_L_roi.mat,MNI_Cingulum_Mid_R_roi.mat,MNI_Cingulum_Post_L_roi.mat,MNI_Cingulum_Post_R_roi.mat,MNI_Cuneus_L_roi.mat,MNI_Cuneus_R_roi.mat,MNI_Frontal_Inf_Oper_L_roi.mat,MNI_Frontal_Inf_Oper_R_roi.mat,MNI_Frontal_Inf_Orb_L_roi.mat,MNI_Frontal_Inf_Orb_R_roi.mat,MNI_Frontal_Inf_Tri_L_roi.mat,MNI_Frontal_Inf_Tri_R_roi.mat,MNI_Frontal_Med_Orb_L_roi.mat,MNI_Frontal_Med_Orb_R_roi.mat,MNI_Frontal_Mid_L_roi.mat,MNI_Frontal_Mid_R_roi.mat,MNI_Frontal_Mid_Orb_L_roi.mat,MNI_Frontal_Mid_Orb_R_roi.mat,MNI_Frontal_Sup_L_roi.mat,MNI_Frontal_Sup_R_roi.mat,MNI_Frontal_Sup_Medial_L_roi.mat,MNI_Frontal_Sup_Medial_R_roi.mat,MNI_Frontal_Sup_Orb_L_roi.mat,MNI_Frontal_Sup_Orb_R_roi.mat,MNI_Insula_L_roi.mat,MNI_Insula_R_roi.mat,MNI_Precuneus_L_roi.mat,MNI_Precuneus_R_roi.mat,MNI_Putamen_L_roi.mat,MNI_Putamen_R_roi.mat,MNI_Temporal_Inf_L_roi.mat,MNI_Temporal_Inf_R_roi.mat,MNI_Temporal_Mid_L_roi.mat,MNI_Temporal_Mid_R_roi.mat,MNI_Temporal_Pole_Mid_L_roi.mat,MNI_Temporal_Pole_Mid_R_roi.mat,MNI_Temporal_Pole_Sup_L_roi.mat,MNI_Temporal_Pole_Sup_R_roi.mat,MNI_Temporal_Sup_L_roi.mat,MNI_Temporal_Sup_R_roi.mat,MNI_Occipital_Inf_L_roi.mat,MNI_Occipital_Inf_R_roi.mat
0.2460455,0.2335066,0.9152904,0.9864788,0.1987862,0.2715921,-0.3344275,-0.5098797,-0.7809442,-0.7370051,0.322925,0.337603,0.5888542,0.5835696,0.6385128,0.6129899,0.7083573,0.8234013,0.4549966,0.4936377,0.3798599,0.2574345,0.3618548,0.4499841,0.498607,0.5907089,0.642427,0.1215965,0.4607382,0.3167751,-0.37093,-0.4628094,0.4929511,0.4462017,-0.06047051,-0.2403728,-0.3106375,-0.288571,0.5133917,0.9545107,0.1677258,0.3121307,-0.2039499,-0.1302891,-0.4845516,-0.6313477
-0.004929995,0.1747416,0.4246355,0.4936097,0.0873599,0.2296121,0.560219,0.3548629,0.08393036,0.1378974,0.03811313,0.2510413,0.09968734,0.1801897,0.07399538,0.2547096,-0.09833884,-0.003515122,0.1676699,0.5244358,-0.003820739,0.4408013,-0.01744125,0.2809652,0.015604,0.2298573,0.1052562,0.3877752,0.1242575,0.1993607,0.02485301,0.2067631,0.2869361,0.3234253,-0.006439317,0.3013716,-0.01349769,0.1035285,0.6095984,0.4124028,0.1283067,0.1251121,-0.009662249,0.1078894,0.2410832,0.2227918
0.05956164,0.09090944,0.1548439,0.1426412,0.01798091,-0.004923711,-0.01646064,-0.05841811,-0.4200963,-0.3618847,-0.02902805,0.007825925,0.1478821,0.06911843,0.06722281,0.01248706,-0.01571761,0.1115982,0.1268767,0.0479047,0.1868212,0.08716262,0.1176747,0.06338487,0.1582265,0.1249789,0.05227372,0.04589507,0.09155605,0.00629474,-0.2262762,-0.2024653,-0.001327784,-0.03669417,0.04731842,0.02959076,-0.07143493,-0.1105297,0.2941129,0.2156267,0.1498017,0.05491254,-0.0718531,-0.120873,-0.1668462,-0.06552735
0.02892195,0.1205945,0.2554198,0.3513412,0.09099874,0.1262326,0.01087621,0.08022235,-0.3602931,-0.2347122,-0.1189402,-0.06786913,-0.1367249,-0.102036,-0.1066945,-0.2572844,-0.4075223,-0.09199052,0.0136642,0.06337959,-0.4675909,-0.4447503,-0.2370102,-0.0533863,-0.03083521,-0.08195068,-0.5825626,-0.549828,-0.06618388,0.09512951,-0.1129427,-0.0364914,-0.08522272,0.0750978,-0.1194843,-0.07031428,-0.1480281,-0.06272423,-0.4983924,-0.2793865,-0.1425145,-0.3086328,-0.3686118,-0.1841259,-0.09351613,0.09803311
0.1796651,0.1720714,0.3862234,0.412704,-0.05144502,0.03702441,-0.2470875,-0.3070146,-0.4612037,-0.4333026,0.2048828,0.1043823,0.3005519,0.2813292,0.3432883,0.2350142,0.06124892,0.2933593,0.2190474,0.09962255,0.4239118,0.2802672,0.1927465,0.1333147,0.2020808,0.2640653,0.1996601,0.2866601,0.3136031,0.209969,-0.3503127,-0.3443514,0.257786,0.1878209,-0.1015189,-0.1380921,-0.1171717,-0.1913487,0.4116188,0.4878667,0.1776047,0.1224186,0.01578514,-0.04443697,-0.300524,-0.3309497
0.4864327,0.5756277,0.5276561,0.565268,0.1230869,0.2132043,-0.3498336,-0.3378148,-0.1192604,-0.2017774,0.7244861,0.6187898,0.6619031,0.712187,0.6907809,0.6483145,0.5473631,0.6011684,0.624532,0.6737291,0.8086315,0.8110711,0.5546853,0.6334219,0.6644495,0.7349038,0.512907,0.6621889,0.5280188,0.5115439,-0.2346948,-0.2039161,0.5226048,0.509357,0.3163908,0.2831654,0.1601738,0.1319004,0.8742002,0.7134554,0.6909029,0.56724,0.3342924,0.2450068,-0.3530873,-0.2934116
0.3098522,0.2961663,0.3002391,0.3375768,0.1695395,0.216791,-0.02805844,-0.03260791,-0.1501382,-0.1980517,0.3765161,0.2847912,0.3830948,0.2888289,0.4082787,0.3565108,0.07178386,0.1337279,0.3657632,0.3223473,0.385834,0.296592,0.3166114,0.2667784,0.3024916,0.291801,0.3591389,0.307557,0.322872,0.233579,-0.06547383,-0.05361345,0.3026746,0.2528346,0.2333795,0.1834829,0.09473336,0.04408213,0.6103493,0.4300355,0.2842623,0.289555,0.1623871,0.1237574,-0.1726581,-0.1962235
0.4537303,0.3923563,0.7261597,0.7444464,0.1335018,0.1479906,-0.327115,-0.2930629,-0.4526428,-0.4615073,0.3835345,0.4173867,0.6835348,0.6815734,0.5411697,0.45132,0.3492403,0.4568811,0.6320778,0.5841546,0.5706486,0.7883019,0.6988198,0.6717722,0.8530561,0.8612942,0.4725344,0.3699999,0.4440199,0.3322333,-0.3806077,-0.3444633,0.3446067,0.3220607,-0.09989076,-0.06353983,-0.08836802,-0.1595471,1.024318,1.037507,0.5086044,0.5167858,0.07074952,-0.1108079,-0.3476354,-0.267777
-0.03812692,-0.07141889,0.006695187,0.01099795,0.000210929,-0.03350877,0.05199224,0.02694005,0.002205622,-0.009154765,0.04579661,-0.004393136,0.09745258,0.07547265,0.0720635,-0.00221979,-0.0312292,-0.0328516,0.03999127,0.008989726,0.0248759,0.06939926,-0.02039508,-0.009499692,-0.02983667,-0.04706534,-0.0178245,-0.05916955,0.00877651,0.002641661,0.04259788,0.0137382,-0.01054399,-0.02472365,-0.02159354,-0.01094021,-0.01385535,-0.03672972,-0.01900371,-0.05264684,-0.02487214,-0.1148685,-0.01474822,-0.04021511,0.03030777,0.08298037
-0.07537529,-0.0102349,0.002471793,0.06814283,0.01663912,0.03020987,0.188155,0.01896193,0.03989683,0.07374044,-0.08975674,0.08464003,-0.1629577,0.140222,-0.006418457,0.128927,-0.09345403,-0.08451626,0.09510498,0.09498401,-0.07331928,0.09336813,0.1099629,0.05078654,0.1658176,0.1182062,0.146559,0.05747139,-0.1361513,-0.01832019,0.1111738,0.04329435,-0.1497145,-0.0243746,-0.1124946,0.1867295,-0.08901016,-0.09536969,-0.05301977,0.09933357,-0.05949411,0.06012212,-0.1584692,-0.1772815,0.1025602,0.1309078
