acc_pFgA_z_FDR_0_roi.mat,amygdala_pFgA_z_FDR_0_roi.mat,anterior insula_pFgA_z_FDR_0_roi.mat,anterior prefrontal_pFgA_z_FDR_0_roi.mat,caudate_pFgA_z_FDR_0_roi.mat,dacc_pFgA_z_FDR_0_roi.mat,dlpfc_pFgA_z_FDR_0_roi.mat,dmpfc_pFgA_z_FDR_0_roi.mat,medial orbitofrontal_pFgA_z_FDR_0_roi.mat,mpfc_pFgA_z_FDR_0_roi.mat,nucleus accumbens_pFgA_z_FDR_0_roi.mat,orbitofrontal cortex_pFgA_z_FDR_0_roi.mat,precuneus_pFgA_z_FDR_0_roi.mat,psts_pFgA_z_FDR_0_roi.mat,putamen_pFgA_z_FDR_0_roi.mat,striatum_pFgA_z_FDR_0_roi.mat,subgenual_pFgA_z_FDR_0_roi.mat,temporoparietal junction_pFgA_z_FDR_0_roi.mat,ventral striatum_pFgA_z_FDR_0_roi.mat,vlpfc_pFgA_z_FDR_0_roi.mat,vmpfc_pFgA_z_FDR_0_roi.mat
0.6784891,0.1831654,0.2176101,-0.6583513,-0.09584857,0.6425572,-0.6041349,-2.053688,-0.0955072,0.08820662,-0.5690486,0.3704653,-0.5050863,0.4109432,-0.258365,0.7480153,0.01074916,-0.2667263,0.752861,0.3692156,-0.5339847
-0.08116599,-0.06105812,-0.1694093,0.03598996,0.23103,0.008183749,-0.3765525,1.807987,0.2057263,-0.4213465,-0.383808,-0.08905211,0.05515591,0.3852194,0.07625657,0.4439724,-0.1940832,0.3288973,0.2870082,0.06630439,-0.4007767
0.1906699,-0.04324733,0.05837134,-0.2959665,-0.05285221,0.1223213,-0.3329779,-0.4671583,-0.2152076,-0.1745692,-0.4015173,-0.1367132,-0.2981125,0.09759505,-0.1068236,0.1081665,-0.8195155,-0.2284578,0.1000717,-0.06417419,-0.2304149
0.1969252,-0.264837,-0.06846805,-0.3876582,-0.05757201,-0.02530096,-0.6816351,-0.1850987,-0.3233249,-0.2841116,-0.1025662,-0.6209735,-0.280812,0.03411158,-0.07651293,-0.01299966,-0.2137704,-0.5495991,-0.0525725,0.1038427,-0.1622612
0.4110515,0.02095761,-0.08714525,-0.192897,-0.06618072,0.2195908,0.1939597,-0.4869383,-0.02872707,-0.1428878,-0.3472678,-0.1002599,-0.2509788,0.1283018,-0.03926689,0.09341689,-0.2015,-0.1546656,0.1603877,0.05429849,-0.2038669
0.6027125,-0.9116069,0.4737997,-0.1151725,0.1132701,0.6766627,0.4339567,0.3641692,0.2068619,0.2109457,0.004726375,0.08003145,-0.1416717,0.9575375,0.1955077,0.3733202,-0.1762101,0.3228101,0.3764725,-0.40235,-0.2220361
0.3559311,0.08387284,0.1554659,-0.06349552,0.1300527,0.4391204,0.2305762,0.6753576,0.1840326,0.05776917,0.214028,0.118347,0.2354188,0.1144789,0.1646636,0.3808654,0.09186019,0.1254357,0.3793923,0.3018398,0.02891297
0.7867059,0.1710713,0.1037474,-0.6473745,0.1774429,0.6786954,0.166322,-0.6658848,-0.5785428,0.2062491,-0.3207616,0.003296422,0.2077088,0.8588093,-0.008741077,1.292039,0.1610906,0.09636199,1.236195,0.7632675,0.05047435
-0.01929577,0.01637727,0.1235976,-0.08040589,0.08673532,-0.1434714,0.3272599,-0.1484216,-0.07710277,0.034411,0.0785793,0.02870146,-0.05468735,0.02014947,-0.1831717,-0.07053131,0.01038579,0.3017743,0.0118801,0.09701083,-0.09495936
0.1026657,-0.07719896,0.04272569,0.02540531,-0.08079005,0.1851788,0.2071373,0.1424076,-0.04573036,0.1114398,0.1627427,-0.1061458,-0.2662378,0.1217956,0.1248166,0.338779,-0.01744119,-0.08243567,0.3335584,0.0045381,0.02509045
0.3952272,-0.2892747,-0.2362418,-0.2082542,-0.07515457,0.1339264,-0.9902434,2.409157,0.3401735,-0.3637575,-0.09801747,-0.1020991,-0.6634917,0.2099012,0.2718435,-0.7230658,0.1483016,-0.02809586,-0.4801908,0.2109698,0.0521267
0.1428482,0.166531,0.04567571,0.06855465,0.1622616,0.05674743,0.02221882,0.06170548,0.0969174,-0.05325891,0.003148649,0.005577959,-0.02284539,0.01635683,-0.07529316,-0.08864203,-0.03613554,-0.1522349,-0.0516735,-0.3719536,-0.08720893
0.05069854,0.1023582,-0.04954128,-0.07963824,-0.06065395,-0.07128325,-0.01379053,-0.1582711,-0.04608025,0.02820344,-0.06053967,0.04295237,-0.1016999,-0.07305585,-0.01498522,0.1084591,-0.0287587,-0.02981545,0.1601467,0.09510167,0.02847038
1.884417,0.3262144,0.4097582,0.2628367,0.508371,1.424971,0.8011614,0.1368103,0.7210889,0.7680528,-0.359048,0.4539931,-0.2371543,0.9431063,0.4065241,2.416355,0.4455309,0.6257362,2.324798,1.884737,-0.4499356
-0.02075179,0.03495196,-0.05326085,0.403562,-0.05008388,0.06648639,0.1644931,0.05980414,-0.1195037,0.1258498,0.01796005,-0.1713843,-0.01669317,0.06250503,-0.01969033,-0.08837557,-0.1974374,-0.1778959,-0.08422324,0.09938567,-0.01231841
0.5261183,0.3805933,-0.2342505,-0.08548515,-0.03601487,0.3358307,0.383389,-0.1996118,0.2359554,-0.1532636,-0.2179311,0.05464068,0.1245818,0.03916437,-0.0615829,0.4813545,0.2331658,0.2401029,0.4643278,0.3826913,0.2185013
0.3844428,0.1372678,0.234926,0.2575553,0.2025661,0.7201083,0.4125159,-0.08888478,0.9432483,0.3131553,-0.1915045,0.2040952,-0.0498371,0.6710075,0.5586095,0.9587681,0.09576906,0.1848168,0.951324,0.6049586,-0.02506731
